33.0,7.0,15.0,12.0,14.0,13.0,25.0,17.0,3.0,29.0,0.0,28.0,4.0,16.0,36.0,8.0,0.0,13.0,31.0,0.0
8.0,17.0,11.0,5.0,7.0,7.0,16.0,7.0,7.0,20.0,4.0,10.0,9.0,13.0,7.0,10.0,1.0,13.0,19.0,0.0
14.0,8.0,22.0,4.0,9.0,11.0,8.0,16.0,4.0,16.0,0.0,21.0,3.0,15.0,18.0,6.0,1.0,16.0,19.0,0.0
2.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0
8.0,3.0,11.0,6.0,6.0,11.0,11.0,8.0,4.0,13.0,0.0,21.0,0.0,9.0,26.0,3.0,0.0,5.0,19.0,0.0
10.0,3.0,11.0,2.0,5.0,10.0,8.0,8.0,2.0,4.0,0.0,13.0,2.0,7.0,13.0,4.0,0.0,8.0,17.0,0.0
9.0,4.0,11.0,9.0,6.0,3.0,16.0,8.0,5.0,10.0,0.0,16.0,1.0,6.0,17.0,2.0,0.0,7.0,19.0,0.0
13.0,5.0,16.0,6.0,15.0,10.0,11.0,20.0,7.0,23.0,0.0,17.0,3.0,26.0,26.0,9.0,0.0,19.0,21.0,0.0
7.0,9.0,11.0,2.0,5.0,2.0,5.0,11.0,13.0,15.0,0.0,16.0,10.0,10.0,6.0,5.0,10.0,6.0,9.0,0.0
23.0,20.0,21.0,10.0,12.0,17.0,21.0,30.0,11.0,23.0,3.0,31.0,6.0,16.0,27.0,7.0,1.0,22.0,31.0,0.0
0.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0
20.0,12.0,17.0,6.0,24.0,14.0,14.0,21.0,9.0,25.0,0.0,35.0,6.0,14.0,31.0,8.0,1.0,13.0,27.0,1.0
1.0,8.0,3.0,0.0,2.0,1.0,2.0,2.0,11.0,1.0,3.0,2.0,15.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0
12.0,7.0,13.0,4.0,7.0,9.0,16.0,31.0,11.0,13.0,3.0,17.0,4.0,13.0,21.0,14.0,1.0,13.0,22.0,1.0
14.0,5.0,14.0,13.0,18.0,13.0,17.0,27.0,10.0,27.0,3.0,30.0,3.0,12.0,43.0,7.0,2.0,21.0,34.0,0.0
9.0,7.0,10.0,1.0,1.0,2.0,6.0,6.0,3.0,12.0,1.0,5.0,3.0,8.0,13.0,8.0,1.0,7.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
20.0,3.0,15.0,11.0,10.0,13.0,17.0,24.0,3.0,21.0,1.0,21.0,4.0,18.0,20.0,5.0,0.0,15.0,30.0,0.0
16.0,4.0,16.0,5.0,19.0,12.0,19.0,13.0,10.0,29.0,3.0,42.0,4.0,7.0,27.0,5.0,1.0,16.0,29.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
